config_id,node_id,highlight_reason,n_members,degree,component_id,mean_imputation_fraction,physically_derived_fraction,candidate_population_top,radius_class_top,orbit_class_top,thermal_class_top,mean_pl_rade,mean_pl_bmasse,mean_pl_dens,mean_pl_orbper,mean_pl_orbsmax,mean_pl_insol,mean_pl_eqt,example_pl_names,interpretation_text,caution_text
phys_min_pca2_cubes10_overlap0p35,cube21_cluster0,central_node;cycle_component_node;large_node;reliable_node,2323,7,1,0.00021523891519586742,0.0,sub_neptune_candidate,sub_neptune_size,short_period,warm,1.8349219335838918,4.2286429035514415,3.982103590232458,41.69630950816857,0.13676664451312212,299.8367881176294,826.9242049626237,"[""55 Cnc B b"", ""55 Cnc B c"", ""55 Cnc e"", ""61 Vir b"", ""BD+05 4868 A b""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,Low-to-moderate caution: interpretation is comparatively stable within this run.
phys_min_pca2_cubes10_overlap0p35,cube31_cluster0,central_node;cycle_component_node;large_node;reliable_node,2266,9,1,0.0033097969991173876,0.0,sub_neptune_candidate,sub_neptune_size,intermediate_period,warm,2.6897257722359624,8.459373002951253,2.5405897504990267,164.42032558001267,0.25322471965598947,156.9135420073846,729.9387602194219,"[""55 Cnc B c"", ""55 Cnc e"", ""61 Vir b"", ""61 Vir c"", ""AU Mic c""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,Low-to-moderate caution: interpretation is comparatively stable within this run.
phys_min_pca2_cubes10_overlap0p35,cube32_cluster0,cycle_component_node;large_node;reliable_node,1613,5,1,0.00030998140111593303,0.0,sub_neptune_candidate,sub_neptune_size,intermediate_period,warm,3.0405700731899445,9.64614036367638,1.9488247225945832,69.43218157696609,0.2250053237106039,132.31351610600757,713.497200225117,"[""61 Vir c"", ""AU Mic e"", ""BD+05 4868 A b"", ""BD-11 4672 c"", ""CoRoT-24 b""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,Low-to-moderate caution: interpretation is comparatively stable within this run.
phys_min_pca2_cubes10_overlap0p35,cube62_cluster0,central_node;cycle_component_node;large_node;risky_node,794,7,1,0.0,0.0,hot_jupiter_candidate,jovian_size,short_period,warm,14.004219227531486,331.2435741052141,0.6961074505651371,542.4806988926572,0.8989442017725547,781.4527226561282,1059.008312222446,"[""16 Cyg B b"", ""24 Boo b"", ""24 Sex b"", ""24 Sex c"", ""2MASS J19383260+4603591 b""]","Node enriched in short-period large-radius planets, compatible with a hot-Jupiter-like region.",High imputation dependence reduces confidence in fine-grained scientific interpretation.
phys_min_pca2_cubes10_overlap0p35,cube61_cluster0,central_node;cycle_component_node;large_node;risky_node,769,10,1,0.0305591677503251,0.0,warm_or_cool_giant_candidate,jovian_size,long_period,warm,13.047035082503182,836.5545716659971,2.0963538181548063,12400.959151231436,3.874698627001594,461.4213676597299,848.2822429731607,"[""14 And b"", ""16 Cyg B b"", ""17 Sco b"", ""24 Sex b"", ""2M0437 b""]",Node concentrated in long-period orbital configurations with low imputation dependence.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
phys_min_pca2_cubes10_overlap0p35,cube52_cluster0,central_node;cycle_component_node;large_node,723,8,1,0.0,0.0,warm_or_cool_giant_candidate,jovian_size,short_period,hot,11.960320242102352,163.15419218663902,0.5173228094542589,448.12308430906586,0.7773314270631809,298.0189062630995,880.3803420985629,"[""24 Boo b"", ""24 Sex c"", ""47 UMa c"", ""51 Peg b"", ""55 Cnc b""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,Low-to-moderate caution: interpretation is comparatively stable within this run.
phys_min_pca2_cubes10_overlap0p35,cube13_cluster0,cycle_component_node;large_node;reliable_node,659,4,1,0.0,0.0,super_earth_candidate,rocky_size,short_period,hot,1.1154154053414265,1.5137210605614568,5.515359925921753,49.82361160862795,0.10323723859256874,545.3249413380223,947.8937950049584,"[""AU Mic d"", ""Barnard b"", ""Barnard c"", ""Barnard d"", ""EPIC 201170410.02""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,Low-to-moderate caution: interpretation is comparatively stable within this run.
phys_min_pca2_cubes10_overlap0p35,cube42_cluster0,central_node;cycle_component_node,592,6,1,0.0,0.0,unknown_mixed,neptune_or_sub_jovian_size,intermediate_period,warm,5.526677748277027,28.141269038277027,1.0091540032122208,255.1447154275464,0.5054377810533915,135.67120261020705,708.3553109410619,"[""55 Cnc c"", ""55 Cnc f"", ""61 Vir c"", ""61 Vir d"", ""AU Mic e""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,Low-to-moderate caution: interpretation is comparatively stable within this run.
phys_min_pca2_cubes10_overlap0p35,cube22_cluster0,cycle_component_node;reliable_node,538,3,1,0.0009293680297397769,0.0,sub_neptune_candidate,sub_neptune_size,intermediate_period,warm,2.435487542723756,6.313183410520446,2.418529255972991,35.45264526652039,0.15594877354677422,137.14093391914028,716.3900321411692,"[""BD+05 4868 A b"", ""DMPP-6 b"", ""EPIC 206024342 d"", ""EPIC 212297394 c"", ""EPIC 212587672 c""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,Low-to-moderate caution: interpretation is comparatively stable within this run.
phys_min_pca2_cubes10_overlap0p35,cube67_cluster0,central_node;cycle_component_node;extreme_orbital_period;risky_node,438,6,1,0.0,0.0,warm_or_cool_giant_candidate,jovian_size,long_period,warm,12.57861906305936,2580.213165910822,7.365719263657313,1964029.1910016756,114.3721383577381,76.44290838306915,665.4100712727376,"[""11 Com b"", ""11 UMi b"", ""14 And b"", ""14 Her b"", ""17 Sco b""]",Node concentrated in long-period orbital configurations with low imputation dependence.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
phys_min_pca2_cubes10_overlap0p35,cube53_cluster0,cycle_component_node;risky_node,409,5,1,0.0,0.0,warm_or_cool_giant_candidate,jovian_size,short_period,hot,12.715737053349635,122.90069081596577,0.33038008743932756,495.848287723293,0.8256621393908103,376.3673757124437,924.3315093979086,"[""47 UMa c"", ""51 Peg b"", ""55 Cnc c"", ""BD+42 2315 b"", ""BD-06 1339 c""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
phys_min_pca2_cubes10_overlap0p35,cube60_cluster0,cycle_component_node;extreme_orbital_period;risky_node,339,5,1,0.0,0.0,warm_or_cool_giant_candidate,jovian_size,long_period,warm,12.587687564218289,1882.1856245454278,5.237249129759294,1275420.918762341,38.74881723951496,92.1604532408631,684.4157610449818,"[""14 And b"", ""14 Her b"", ""17 Sco b"", ""18 Del b"", ""2M0437 b""]",Node concentrated in long-period orbital configurations with low imputation dependence.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
phys_min_pca2_cubes10_overlap0p35,cube41_cluster0,cycle_component_node,288,5,1,0.0,0.0,sub_neptune_candidate,sub_neptune_size,intermediate_period,warm,3.843884195729167,16.260760522048614,1.7859438098204505,137.68665908142253,0.3387848061523208,129.36192702923552,709.5820429325154,"[""61 Vir c"", ""BD+20 594 b"", ""BD-11 4672 c"", ""CoRoT-24 c"", ""CoRoT-7 d""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,Low-to-moderate caution: interpretation is comparatively stable within this run.
phys_min_pca2_cubes10_overlap0p35,cube68_cluster0,central_node;cycle_component_node;risky_node,271,7,1,0.06826568265682657,0.0,warm_or_cool_giant_candidate,jovian_size,long_period,warm,13.73722353508616,1501.6732918934465,3.2662795546541643,35150.76405518848,9.740306126704754,435.2813410012466,824.4374784210706,"[""14 And b"", ""17 Sco b"", ""1RXS J160929.1-210524 b"", ""2M0437 b"", ""2MASS J12073346-3932539 b""]",Node concentrated in long-period orbital configurations with low imputation dependence.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
phys_min_pca2_cubes10_overlap0p35,cube63_cluster0,cycle_component_node,263,3,1,0.0,0.0,hot_jupiter_candidate,jovian_size,short_period,very_hot,15.414553804638782,195.88259749292777,0.29549755715545417,425.0062392920351,0.7087284526831837,824.8723942159212,1186.9767408428977,"[""47 UMa c"", ""51 Peg b"", ""BD+42 2315 b"", ""BD-10 3166 b"", ""BD-11 4672 b""]","Node enriched in short-period large-radius planets, compatible with a hot-Jupiter-like region.",Low-to-moderate caution: interpretation is comparatively stable within this run.
phys_min_pca2_cubes10_overlap0p35,cube66_cluster0,cycle_component_node;extreme_mass;extreme_orbital_period;risky_node,189,4,1,0.0,0.0,warm_or_cool_giant_candidate,jovian_size,long_period,warm,12.129047460634924,5385.820955885344,16.852636557791644,5814774.217765448,360.9980222339616,108.54125235225838,753.9236800294104,"[""11 Com b"", ""11 UMi b"", ""2MASS J01033563-5515561 AB b"", ""2MASS J01225093-2439505 b"", ""2MASS J0249-0557 c""]",Node concentrated in long-period orbital configurations with low imputation dependence.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
phys_min_pca2_cubes10_overlap0p35,cube20_cluster0,cycle_component_node;reliable_node,166,5,1,0.0,0.0,super_earth_candidate,rocky_size,short_period,hot,1.4203847230120483,4.146628420361446,7.153964261981387,68.70306728519368,0.11864188142056223,692.825950522051,1059.3007507487368,"[""55 Cnc e"", ""EPIC 201595106 b"", ""EPIC 201615463 c"", ""EPIC 220674823 b"", ""EPIC 249893012 b""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,Low-to-moderate caution: interpretation is comparatively stable within this run.
