config_id,source,target,n_shared_members,jaccard_members,source_size,target_size,mean_imputation_fraction_shared,physically_derived_fraction_shared,imputed_fraction_shared
phys_min_pca2_cubes10_overlap0p35,cube0_cluster0,cube1_cluster0,5,1.0,5,5,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube0_cluster0,cube5_cluster1,5,1.0,5,5,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube0_cluster0,cube6_cluster1,5,1.0,5,5,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube1_cluster0,cube5_cluster1,5,1.0,5,5,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube1_cluster0,cube6_cluster1,5,1.0,5,5,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube5_cluster0,cube6_cluster0,11,0.12222222222222222,90,11,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube13_cluster0,cube5_cluster0,72,0.10635155096011817,90,659,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube5_cluster1,cube6_cluster1,5,1.0,5,5,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube11_cluster0,cube12_cluster1,4,1.0,4,4,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube11_cluster0,cube19_cluster0,4,1.0,4,4,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube11_cluster0,cube20_cluster1,4,1.0,4,4,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube12_cluster0,cube13_cluster0,78,0.11836115326251896,78,659,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube12_cluster0,cube20_cluster0,78,0.46987951807228917,78,166,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube12_cluster0,cube21_cluster0,78,0.03357727077055531,78,2323,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube12_cluster1,cube19_cluster0,4,1.0,4,4,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube12_cluster1,cube20_cluster1,4,1.0,4,4,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube13_cluster0,cube20_cluster0,78,0.10441767068273092,659,166,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube13_cluster0,cube21_cluster0,445,0.17540402049664958,659,2323,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube19_cluster0,cube20_cluster1,4,1.0,4,4,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube20_cluster0,cube21_cluster0,154,0.06595289079229122,166,2323,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube20_cluster0,cube30_cluster0,45,0.26785714285714285,166,47,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube20_cluster0,cube31_cluster0,38,0.015873015873015872,166,2266,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube21_cluster0,cube22_cluster0,531,0.2278969957081545,2323,538,0.0009416195856873823,0.0,0.0009416195856873823
phys_min_pca2_cubes10_overlap0p35,cube21_cluster0,cube30_cluster0,37,0.015859408486926702,2323,47,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube21_cluster0,cube31_cluster0,1143,0.3316889146836912,2323,2266,0.0004374453193350831,0.0,0.0004374453193350831
phys_min_pca2_cubes10_overlap0p35,cube21_cluster0,cube32_cluster0,522,0.15289982425307558,2323,1613,0.0009578544061302681,0.0,0.0009578544061302681
phys_min_pca2_cubes10_overlap0p35,cube21_cluster1,cube22_cluster1,5,1.0,5,5,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube22_cluster0,cube31_cluster0,522,0.2287467134092901,538,2266,0.0009578544061302681,0.0,0.0009578544061302681
phys_min_pca2_cubes10_overlap0p35,cube22_cluster0,cube32_cluster0,529,0.32614056720098644,538,1613,0.000945179584120983,0.0,0.000945179584120983
phys_min_pca2_cubes10_overlap0p35,cube29_cluster0,cube30_cluster3,6,1.0,6,6,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube29_cluster0,cube39_cluster0,6,1.0,6,6,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube29_cluster0,cube40_cluster4,6,1.0,6,6,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube30_cluster0,cube31_cluster0,39,0.017150395778364115,47,2266,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube30_cluster1,cube31_cluster0,36,0.0158311345646438,44,2266,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube30_cluster1,cube40_cluster0,15,0.3409090909090909,44,15,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube30_cluster1,cube40_cluster3,6,0.13636363636363635,44,6,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube30_cluster1,cube41_cluster0,14,0.0440251572327044,44,288,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube30_cluster3,cube39_cluster0,6,1.0,6,6,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube30_cluster3,cube40_cluster4,6,1.0,6,6,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube31_cluster0,cube32_cluster0,1510,0.6373997467285775,2266,1613,0.00033112582781456954,0.0,0.00033112582781456954
phys_min_pca2_cubes10_overlap0p35,cube31_cluster0,cube40_cluster0,14,0.0061755624172915745,2266,15,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube31_cluster0,cube41_cluster0,281,0.12362516498020237,2266,288,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube31_cluster0,cube42_cluster0,248,0.0950191570881226,2266,592,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube32_cluster0,cube41_cluster0,248,0.1500302480338778,1613,288,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube32_cluster0,cube42_cluster0,317,0.16790254237288135,1613,592,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube32_cluster1,cube33_cluster0,6,0.6666666666666666,9,6,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube32_cluster1,cube42_cluster1,9,1.0,9,9,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube32_cluster1,cube43_cluster1,6,0.6666666666666666,9,6,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube33_cluster0,cube42_cluster1,6,0.6666666666666666,6,9,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube33_cluster0,cube43_cluster1,6,1.0,6,6,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube39_cluster0,cube40_cluster4,6,1.0,6,6,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube40_cluster0,cube41_cluster0,14,0.04844290657439446,15,288,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube41_cluster0,cube42_cluster0,255,0.408,288,592,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube41_cluster2,cube42_cluster3,4,0.5714285714285714,7,4,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube41_cluster2,cube51_cluster3,6,0.8571428571428571,7,6,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube41_cluster3,cube42_cluster2,5,1.0,5,5,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube42_cluster0,cube43_cluster0,80,0.13513513513513514,592,80,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube42_cluster0,cube52_cluster0,140,0.11914893617021277,592,723,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube42_cluster0,cube53_cluster0,80,0.08686210640608034,592,409,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube42_cluster1,cube43_cluster1,6,0.6666666666666666,9,6,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube42_cluster3,cube51_cluster3,3,0.42857142857142855,4,6,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube43_cluster0,cube52_cluster0,80,0.11065006915629322,80,723,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube43_cluster0,cube53_cluster0,80,0.19559902200489,80,409,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube51_cluster0,cube61_cluster0,8,0.010403120936280884,8,769,0.25,0.0,0.25
phys_min_pca2_cubes10_overlap0p35,cube51_cluster1,cube52_cluster0,73,0.10013717421124829,79,723,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube51_cluster1,cube61_cluster0,76,0.09844559585492228,79,769,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube51_cluster1,cube62_cluster0,70,0.08717310087173101,79,794,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube51_cluster2,cube52_cluster0,7,0.009681881051175657,7,723,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube52_cluster0,cube53_cluster0,369,0.4836173001310616,723,409,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube52_cluster0,cube61_cluster0,70,0.04922644163150492,723,769,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube52_cluster0,cube62_cluster0,438,0.40593141797961074,723,794,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube52_cluster0,cube63_cluster0,185,0.23096129837702872,723,263,0.0,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,cube53_cluster0,cube62_cluster0,185,0.18172888015717092,409,794,0.0,0.0,0.0
