feature_a,feature_b,spearman
pl_bmasse,pl_bmassj,0.9999955747231339
pl_rade,pl_radj,0.9999771743150916
sy_w1mag,sy_w2mag,0.9996372390680389
sy_hmag,sy_kmag,0.999501367755982
sy_kmag,sy_w1mag,0.9991864280473532
sy_kmag,sy_w2mag,0.9987402575500941
sy_hmag,sy_w1mag,0.9986361089521334
sy_jmag,sy_hmag,0.9980658426232751
sy_hmag,sy_w2mag,0.9978638143088903
sy_dist,sy_plx,-0.9973310129412963
sy_jmag,sy_kmag,0.996451993288271
sy_jmag,sy_w1mag,0.9949997071388945
sy_gaiamag,sy_tmag,0.9944619131310776
sy_jmag,sy_w2mag,0.9939248511774333
sy_jmag,sy_tmag,0.9908789829177531
pl_orbper,pl_orbsmax,0.9904264390469143
sy_vmag,sy_gaiamag,0.9902797972290053
pl_trandep,pl_ratror,0.986146338494896
sy_bmag,sy_vmag,0.9845998029053608
sy_hmag,sy_tmag,0.9823450265798963
sy_kmag,sy_tmag,0.9771023220234231
sy_w1mag,sy_tmag,0.975510073331237
sy_jmag,sy_gaiamag,0.9736425507803189
sy_vmag,sy_tmag,0.9736230804383404
sy_w2mag,sy_tmag,0.972931229280391
sy_w2mag,sy_w3mag,0.9712891908026258
pl_insol,pl_eqt,0.9706525041928535
sy_w1mag,sy_w3mag,0.9703587811251488
sy_bmag,sy_gaiamag,0.9688226292600626
sy_kmag,sy_w3mag,0.9688014261878987
sy_hmag,sy_w3mag,0.9670861543616972
sy_jmag,sy_w3mag,0.9618991791298334
sy_hmag,sy_gaiamag,0.9606614298371737
sy_kmag,sy_gaiamag,0.9540183972249827
sy_w1mag,sy_gaiamag,0.9520526038558087
st_rad,st_logg,-0.9492742889845155
sy_w2mag,sy_gaiamag,0.9484964555851378
sy_bmag,sy_tmag,0.9469651471131569
sy_vmag,sy_jmag,0.9422829823543526
sy_w3mag,sy_tmag,0.9392087482421169
st_rad,st_lum,0.9378590181866431
pl_radj,pl_bmasse,0.9314980858610407
pl_radj,pl_bmassj,0.9314869425384436
pl_rade,pl_bmasse,0.9314754625875492
