column,description,dtype,missing_pct,unique,contest_key,model_auxiliary,duplicate_unit_group
pl_eqterr1,Equilibrium Temperature Upper Unc. [K],float64,71.066,326,False,True,
pl_eqterr2,Equilibrium Temperature Lower Unc. [K],float64,71.066,325,False,True,
pl_orbeccenerr1,Eccentricity Upper Unc.,float64,70.19,309,False,True,
pl_orbeccenerr2,Eccentricity Lower Unc.,float64,70.19,295,False,True,
st_spectype,Spectral Type,object,63.128,327,False,False,
pl_bmasseerr1,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,float64,52.16,1232,False,True,
pl_bmasseerr2,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,float64,52.16,1173,False,True,
pl_bmassjerr1,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,float64,52.16,989,False,True,
pl_bmassjerr2,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,float64,52.16,933,False,True,
pl_insolerr1,Insolation Flux Upper Unc. [Earth Flux],float64,41.974,2705,False,True,
pl_insolerr2,Insolation Flux Lower Unc. [Earth Flux],float64,41.974,2671,False,True,
pl_orbsmaxerr1,Orbit Semi-Major Axis Upper Unc. [au],float64,37.733,752,False,True,
pl_orbsmaxerr2,Orbit Semi-Major Axis Lower Unc. [au],float64,37.733,748,False,True,
pl_radeerr1,Planet Radius Upper Unc. [Earth Radius],float64,30.815,901,False,True,
pl_radeerr2,Planet Radius Lower Unc. [Earth Radius],float64,30.815,851,False,True,
pl_radjerr1,Planet Radius Upper Unc. [Jupiter Radius],float64,30.815,906,False,True,
pl_radjerr2,Planet Radius Lower Unc. [Jupiter Radius],float64,30.815,831,False,True,
pl_insol,Insolation Flux [Earth Flux],float64,29.906,4154,True,False,
pl_insollim,Insolation Flux Limit Flag,float64,29.906,1,False,True,
pl_eqt,Equilibrium Temperature [K],float64,25.506,1907,True,False,
pl_eqtlim,Equilibrium Temperature Limit Flag,float64,25.506,2,False,True,
pl_orbeccen,Eccentricity,float64,16.77,610,True,False,
pl_orbeccenlim,Eccentricity Limit Flag,float64,16.77,3,False,True,
st_meterr1,Stellar Metallicity Upper Unc. [dex],float64,14.714,301,False,True,
