column,description,dtype,non_null,missing,missing_pct,unique,unique_pct
pl_eqterr1,Equilibrium Temperature Upper Unc. [K],float64,1815,4458,71.066,326,5.197
pl_eqterr2,Equilibrium Temperature Lower Unc. [K],float64,1815,4458,71.066,325,5.181
pl_orbeccenerr1,Eccentricity Upper Unc.,float64,1870,4403,70.19,309,4.926
pl_orbeccenerr2,Eccentricity Lower Unc.,float64,1870,4403,70.19,295,4.703
st_spectype,Spectral Type,object,2313,3960,63.128,327,5.213
pl_bmasseerr1,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,float64,3001,3272,52.16,1232,19.64
pl_bmasseerr2,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,float64,3001,3272,52.16,1173,18.699
pl_bmassjerr1,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,float64,3001,3272,52.16,989,15.766
pl_bmassjerr2,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,float64,3001,3272,52.16,933,14.873
pl_insolerr1,Insolation Flux Upper Unc. [Earth Flux],float64,3640,2633,41.974,2705,43.121
pl_insolerr2,Insolation Flux Lower Unc. [Earth Flux],float64,3640,2633,41.974,2671,42.579
pl_orbsmaxerr1,Orbit Semi-Major Axis Upper Unc. [au],float64,3906,2367,37.733,752,11.988
pl_orbsmaxerr2,Orbit Semi-Major Axis Lower Unc. [au],float64,3906,2367,37.733,748,11.924
pl_radeerr1,Planet Radius Upper Unc. [Earth Radius],float64,4340,1933,30.815,901,14.363
pl_radeerr2,Planet Radius Lower Unc. [Earth Radius],float64,4340,1933,30.815,851,13.566
pl_radjerr1,Planet Radius Upper Unc. [Jupiter Radius],float64,4340,1933,30.815,906,14.443
pl_radjerr2,Planet Radius Lower Unc. [Jupiter Radius],float64,4340,1933,30.815,831,13.247
pl_insol,Insolation Flux [Earth Flux],float64,4397,1876,29.906,4154,66.22
pl_insollim,Insolation Flux Limit Flag,float64,4397,1876,29.906,1,0.016
pl_eqt,Equilibrium Temperature [K],float64,4673,1600,25.506,1907,30.4
pl_eqtlim,Equilibrium Temperature Limit Flag,float64,4673,1600,25.506,2,0.032
pl_orbeccen,Eccentricity,float64,5221,1052,16.77,610,9.724
pl_orbeccenlim,Eccentricity Limit Flag,float64,5221,1052,16.77,3,0.048
st_meterr1,Stellar Metallicity Upper Unc. [dex],float64,5350,923,14.714,301,4.798
st_meterr2,Stellar Metallicity Lower Unc. [dex],float64,5350,923,14.714,335,5.34
pl_orbpererr1,Orbital Period Upper Unc. [days],float64,5444,829,13.215,2773,44.205
pl_orbpererr2,Orbital Period Lower Unc. [days],float64,5444,829,13.215,2760,43.998
st_metratio,Stellar Metallicity Ratio,object,5615,658,10.489,3,0.048
st_met,Stellar Metallicity [dex],float64,5633,640,10.202,632,10.075
st_metlim,Stellar Metallicity Limit Flag,float64,5633,640,10.202,3,0.048
