column,description,non_null,missing,missing_pct,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,skew
pl_eqterr1,Equilibrium Temperature Upper Unc. [K],1815,4458,71.066,31.502782369146008,51.130518510770884,0.0,2.0140000000000002,5.0,11.25,20.0,35.0,90.0,189.1599999999994,1217.0,11.390717148979448
pl_eqterr2,Equilibrium Temperature Lower Unc. [K],1815,4458,71.066,-30.99739944903581,51.386677390052235,-1217.0,-200.0,-88.0,-34.0,-19.21,-11.0,-5.0,-2.12800000000002,-0.32,-11.356151207416199
pl_orbeccenerr1,Eccentricity Upper Unc.,1870,4403,70.19,0.06758441176470588,0.06853678166123577,0.0,0.00019380000000000005,0.0023450000000000003,0.02,0.048,0.09,0.20061929999999994,0.33309999999999945,0.5,1.9676163037613474
pl_orbeccenerr2,Eccentricity Lower Unc.,1870,4403,70.19,-0.054753103208556156,0.055093201424603395,-0.703,-0.23185999999999998,-0.16423169999999998,-0.078,-0.04,-0.018,-0.002,-0.00013690000000000054,0.0,-2.5605299693170718
pl_bmasseerr1,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,3001,3272,52.16,177.0553715569177,685.2164378733376,0.0,0.12,0.4,2.2,18.43404761,79.45710175,776.13696989,2996.39,12652.74888267,9.930071956592732
pl_bmasseerr2,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,3001,3272,52.16,-127.57244872269243,390.1535618901072,-6038.739733,-1907.0,-635.656814,-69.9226,-17.0,-2.07,-0.39,-0.1,0.0,-6.691100491231347
pl_bmassjerr1,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,3001,3272,52.16,0.557486351692769,2.1591731962683482,0.0,0.0003461,0.00125854,0.0069849,0.058,0.25,2.442,9.42803,39.81,9.924249011735187
pl_bmassjerr2,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,3001,3272,52.16,-0.40148394035988005,1.2273404432519095,-19.0,-6.0,-2.0,-0.22,-0.053,-0.00651292,-0.00119561,-0.00031463,0.0,-6.691747979336894
pl_insolerr1,Insolation Flux Upper Unc. [Earth Flux],3640,2633,41.974,41.36236016483516,191.32452769126502,0.0,0.01839,0.14490000000000003,1.3445,5.905,26.4645,164.20419999999982,533.425730000003,8100.0,24.451149602440125
pl_insolerr2,Insolation Flux Lower Unc. [Earth Flux],3640,2633,41.974,-32.04778145604396,156.69193112141969,-7200.0,-402.4847,-121.0153,-22.020000000000003,-5.2155000000000005,-1.2515,-0.14095000000000027,-0.019,0.0,-29.52491736075665
pl_orbsmaxerr1,Orbit Semi-Major Axis Upper Unc. [au],3906,2367,37.733,1.804545453068869,83.487417288522,0.0,0.0,0.0002,0.0007125,0.002,0.016,0.9,5.695749999999984,5205.0,62.03147951359052
pl_orbsmaxerr2,Orbit Semi-Major Axis Lower Unc. [au],3906,2367,37.733,-0.9607631366326165,33.480743847797,-2060.0,-4.0,-0.8255,-0.016,-0.002,-0.00073,-0.0002,0.0,0.0,-59.74233941313279
pl_radeerr1,Planet Radius Upper Unc. [Earth Radius],4340,1933,30.815,0.5147029845967743,1.4789950799623117,0.0,0.026,0.05,0.13,0.27,0.55,1.5267985000000006,3.5256930301999487,68.91,28.08721523344016
pl_radeerr2,Planet Radius Lower Unc. [Earth Radius],4340,1933,30.815,-0.41364184031797235,0.9308524990272377,-32.5061,-2.7883,-1.2895499999999998,-0.44836,-0.22,-0.11,-0.05,-0.024,0.0,-19.013551232337335
