pl_name,hostname,discoverymethod,disc_year,disc_facility,sy_dist,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_insol,pl_eqt,original_pl_rade,original_pl_bmasse,original_pl_dens,original_pl_orbper,original_pl_orbsmax,original_pl_insol,original_pl_eqt,pl_rade_was_missing,pl_rade_source,pl_bmasse_was_missing,pl_bmasse_source,pl_dens_was_missing,pl_dens_source,pl_orbper_was_missing,pl_orbper_source,pl_orbsmax_was_missing,pl_orbsmax_source,pl_insol_was_missing,pl_insol_source,pl_eqt_was_missing,pl_eqt_source
11 Com b,11 Com,Radial Velocity,2007.0,Xinglong Station,93.1846,0.7779730893657177,1.657228516359767,1.3946480647590274,1.3175901828773935,1.4659657638684351,-0.9763743705059295,-0.6440228542996607,12.2,4914.898485849997,14.924569815852927,323.20999999999987,1.1779999999999997,1.5825574359445866,343.7058303342104,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_knn,True,imputed_knn
11 UMi b,11 UMi,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,125.321,0.7823511214033164,1.644562729130002,1.336835955743734,1.504815915201327,1.6202285441314221,-1.1630152041440986,-0.6585923889506579,12.300000000000004,4684.814200000001,13.881736576982659,516.2199700000001,1.5300000000000002,0.7986587589474811,334.6727188505921,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_knn,True,imputed_knn
14 And b,14 And,Radial Velocity,2008.0,Okayama Astrophysical Observatory,75.4392,0.8161453507463651,1.2691474363925401,0.051749273548369605,1.0982769800535435,1.21891467645314,-0.7392493759712858,-0.6511728727582434,13.099999999999998,1131.1513005099996,2.774428735763873,186.75999999999996,0.7750000000000001,3.773047263736904,339.2728188898891,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_knn,True,imputed_knn
14 Her b,14 Her,Radial Velocity,2002.0,W. M. Keck Observatory,17.9323,0.7910014048430936,1.5112819606639727,0.8955464456808352,1.9967096870850736,1.9849748897812982,-1.704515122913343,-0.5907640029334148,12.500000000000002,2828.6728222999996,7.985818594387046,1766.4099999999999,2.839,0.10982017181547248,376.7263181812828,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_knn,True,imputed_knn
16 Cyg B b,16 Cyg B,Radial Velocity,1996.0,Multiple Observatories,21.1397,0.832276068840877,1.0861114231843725,-0.5732584298579743,1.6792347150990923,1.6683453008359805,-1.3794463157419379,-0.8195692122668147,13.5,565.7374000000008,1.2678864090230149,798.5,1.6599999999999997,0.36137516277689136,234.86708839457492,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_knn,True,imputed_knn
17 Sco b,17 Sco,Radial Velocity,2020.0,Lick Observatory,124.953,0.807894327288802,1.3203379887949107,0.24324419093893393,1.5502790027507463,1.588541540708787,-1.2498961751099602,-0.7675056101863713,12.900000000000002,1373.0187182400007,3.526745239937112,578.3800000000001,1.4499999999999997,0.5809103617156558,267.1465216844498,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_knn,True,imputed_knn
18 Del b,18 Del,Radial Velocity,2008.0,Okayama Astrophysical Observatory,76.222,0.7910014048430936,1.5202408418418951,0.9226131380755099,1.7622938100789263,1.904254533897823,-1.5583601661226574,-0.4197802174451372,12.500000000000002,2926.2461432500013,8.261284471746816,982.8500000000004,2.476,0.18760995907056163,482.73626518401494,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_knn,True,imputed_knn
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008.0,Gemini Observatory,139.135,1.005500524290745,1.526816629125015,-0.015167890267860338,4.039972867796367,4.790939126858969,-1.60376309265633,1.543548387096774,18.647000000000006,3000.0000000000014,2.551297503145835,292634.066082958,330.00000000000034,0.15885724387394964,1700.0,False,observed,False,observed,True,derived_density,True,imputed_knn,False,observed,True,imputed_knn,False,observed
24 Boo b,24 Boo,Radial Velocity,2018.0,Okayama Astrophysical Observatory,95.9863,0.8479357491304239,0.9009125570033336,-1.2026975891159846,0.37146051079493686,0.401722143107815,-0.17409961111239675,-0.2093791744993551,13.900000000000004,280.6424833800001,0.576203345804941,30.330000000000002,0.19399999999999998,29.922988309885266,613.1849118103999,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_knn,True,imputed_knn
24 Sex b,24 Sex,Radial Velocity,2010.0,Lick Observatory,72.0691,0.828288645667115,1.1155633951373158,-0.4664755770682069,1.4524015676299618,1.538901537597882,-1.122073072964382,-0.7535058452193185,13.400000000000002,632.46,1.4493905666587978,452.80000000000024,1.3330000000000002,0.9279225745025165,275.82637596402253,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_knn,True,imputed_knn
