pl_name,hostname,discoverymethod,disc_year,disc_facility,sy_dist,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_insol,pl_eqt,original_pl_rade,original_pl_bmasse,original_pl_dens,original_pl_orbper,original_pl_orbsmax,original_pl_insol,original_pl_eqt,pl_rade_was_missing,pl_rade_source,pl_bmasse_was_missing,pl_bmasse_source,pl_dens_was_missing,pl_dens_source,pl_orbper_was_missing,pl_orbper_source,pl_orbsmax_was_missing,pl_orbsmax_source,pl_insol_was_missing,pl_insol_source,pl_eqt_was_missing,pl_eqt_source
11 Com b,11 Com,Radial Velocity,2007.0,Xinglong Station,93.1846,0.7854858294640988,1.6790152757942534,1.4241076432788837,1.6860301732730276,1.4712872396728538,0.0,0.0,12.2,4914.898485849997,14.924569815852927,323.20999999999987,1.1779999999999997,100.0,823.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_median,True,imputed_median
11 UMi b,11 UMi,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,125.321,0.7898863648382626,1.666198464179145,1.3652294188620522,1.9175380583197004,1.6259830587232662,0.0,0.0,12.300000000000004,4684.814200000001,13.881736576982659,516.2199700000001,1.5300000000000002,100.0,823.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_median,True,imputed_median
14 And b,14 And,Radial Velocity,2008.0,Okayama Astrophysical Observatory,75.4392,0.8238542984644993,1.286306792452715,0.056444402052437566,1.4148455710372854,1.2235426427593887,0.0,0.0,13.099999999999998,1131.1513005099996,2.774428735763873,186.75999999999996,0.7750000000000001,100.0,823.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_median,True,imputed_median
14 Her b,14 Her,Radial Velocity,2002.0,W. M. Keck Observatory,17.9323,0.7985811112326178,1.5313284817329276,0.9158020713940037,2.525773290640271,1.991753302133631,0.0,0.0,12.500000000000002,2828.6728222999996,7.985818594387046,1766.4099999999999,2.839,100.0,823.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_median,True,imputed_median
16 Cyg B b,16 Cyg B,Radial Velocity,1996.0,Multiple Observatories,21.1397,0.8400679293781046,1.1010882933959423,-0.5800890932689733,2.133209947944611,1.6742348863888343,0.0,0.0,13.5,565.7374000000008,1.2678864090230149,798.5,1.6599999999999997,100.0,823.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_median,True,imputed_median
17 Sco b,17 Sco,Radial Velocity,2020.0,Lick Observatory,124.953,0.8155608642716383,1.3381077310530924,0.2514706848303524,1.973753959390647,1.5942071051240823,0.0,0.0,12.900000000000002,1373.0187182400007,3.526745239937112,578.3800000000001,1.4499999999999997,100.0,823.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_median,True,imputed_median
18 Del b,18 Del,Radial Velocity,2008.0,Okayama Astrophysical Observatory,76.222,0.7985811112326178,1.5403941868688649,0.9433679017395709,2.2359139682413662,1.9108063520906786,0.0,0.0,12.500000000000002,2926.2461432500013,8.261284471746816,982.8500000000004,2.476,100.0,823.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_median,True,imputed_median
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008.0,Gemini Observatory,139.135,1.0141827684955251,1.54704838256155,-0.011706783843022464,0.0,4.80559430215251,0.0,2.436111111111111,18.647000000000006,3000.0000000000014,2.551297503145835,10.678821490871393,330.00000000000034,100.0,1700.0,False,observed,False,observed,True,derived_density,True,imputed_median,False,observed,True,imputed_median,False,observed
24 Boo b,24 Boo,Radial Velocity,2018.0,Okayama Astrophysical Observatory,95.9863,0.8558081013253259,0.9136811519277981,-1.2211357650956502,0.5161243240880461,0.4040561272679514,0.0,0.0,13.900000000000004,280.6424833800001,0.576203345804941,30.330000000000002,0.19399999999999998,100.0,823.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_median,True,imputed_median
24 Sex b,24 Sex,Radial Velocity,2010.0,Lick Observatory,72.0691,0.8360600106198114,1.1308914449384875,-0.4713370536441568,1.8527268029343913,1.5444277550707828,0.0,0.0,13.400000000000002,632.46,1.4493905666587978,452.80000000000024,1.3330000000000002,100.0,823.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_median,True,imputed_median
24 Sex c,24 Sex,Radial Velocity,2010.0,Lick Observatory,72.0691,0.8558081013253259,0.9066135605414455,-1.2426259881049657,2.1829449007607225,1.807689595673361,0.0,0.0,13.900000000000004,273.32000000000005,0.5611691308409719,882.9999999999991,2.0799999999999996,100.0,823.0,False,observed,False,observed,True,derived_density,False,observed,False,observed,True,imputed_median,True,imputed_median
2M0437 b,2MASS J04372171+2651014,Imaging,2021.0,Subaru Telescope,128.484,0.8197235304372695,1.31753419062983,0.17008283562208473,0.0,4.197100764633449,0.0,1.7416666666666667,12.999999999999998,1271.313628,3.1907252365917165,10.678821490871393,118.00000000000014,100.0,1450.0,False,observed,False,observed,True,derived_density,True,imputed_median,False,observed,True,imputed_median,False,observed
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013.0,Paranal Observatory,47.2,0.7898863648382626,1.6326184068971135,1.263123499007953,0.0,3.996006092606345,0.0,0.0,12.300000000000004,4131.789999999998,12.243051255140749,10.678821490871393,84.00000000000003,100.0,823.0,False,observed,False,observed,True,derived_density,True,imputed_median,False,observed,True,imputed_median,True,imputed_median
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013.0,W. M. Keck Observatory,33.8281,0.7398170265134766,1.802016534609547,2.0047040454736753,0.0,3.7122499261857795,0.0,2.158333333333333,11.208999999999998,7786.499999999996,30.486561361582666,10.678821490871393,52.00000000000001,100.0,1600.0,False,observed,False,observed,True,derived_density,True,imputed_median,False,observed,True,imputed_median,False,observed
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015.0,Cerro Tololo Inter-American Observatory,40.08964117,0.9363824876624179,1.6505129433066807,0.6548367184269717,0.0,4.362282265875806,0.0,0.0,16.140960000000003,4417.8369999999995,5.792797754743379,10.678821490871393,156.00000000000017,100.0,823.0,False,observed,False,observed,True,derived_density,True,imputed_median,False,observed,True,imputed_median,True,imputed_median
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018.0,Mauna Kea Observatory,66.0613,0.7942512679560916,1.6021570213923475,1.150755111464353,0.0,5.856717852494118,0.0,0.0,12.400000000000002,3686.8095212000003,10.6623370417538,10.678821490871393,1950.0000000000014,100.0,823.0,False,observed,False,observed,True,derived_density,True,imputed_median,False,observed,True,imputed_median,True,imputed_median
