source,target,shared_points_count,shared_sample_indices
cube0_cluster0,cube1_cluster0,4,"[2804, 2933, 4732, 4841]"
cube0_cluster0,cube4_cluster0,2,"[2804, 4841]"
cube0_cluster0,cube5_cluster0,2,"[2804, 4841]"
cube1_cluster0,cube4_cluster0,2,"[2804, 4841]"
cube1_cluster0,cube5_cluster0,2,"[2804, 4841]"
cube4_cluster0,cube5_cluster0,29,"[191, 1588, 1604, 1837, 2112, 2177, 2227, 2258, 2379, 2489, 2563, 2600, 2601, 2699, 2708, 2722, 2745, 2804, 2905, 2909, 2914, 2929, 2943, 3398, 3756, 4372, 4438, 4595, 4841]"
cube4_cluster0,cube9_cluster0,18,"[191, 1588, 1604, 2177, 2379, 2489, 2563, 2600, 2699, 2708, 2722, 2909, 2929, 2943, 3398, 3756, 4372, 4595]"
cube10_cluster0,cube4_cluster0,18,"[191, 1588, 1604, 2177, 2379, 2489, 2563, 2600, 2699, 2708, 2722, 2909, 2929, 2943, 3398, 3756, 4372, 4595]"
cube4_cluster1,cube5_cluster0,9,"[1502, 1541, 2414, 2417, 2592, 2618, 2930, 3089, 3493]"
cube4_cluster1,cube9_cluster0,8,"[1502, 1541, 2414, 2417, 2592, 2930, 3089, 3493]"
cube10_cluster0,cube4_cluster1,8,"[1502, 1541, 2414, 2417, 2592, 2930, 3089, 3493]"
cube4_cluster2,cube9_cluster0,2,"[2114, 5709]"
cube4_cluster3,cube9_cluster0,4,"[5712, 5848, 5868, 5872]"
cube5_cluster0,cube6_cluster0,110,"[56, 159, 206, 211, 247, 372, 523, 524, 1015, 1447, 1461, 1622, 1623, 1624, 1659, 1794, 1882, 1884, 2243, 2302, 2321, 2323, 2357, 2366, 2373, 2478, 2536, 2539, 2543, 2587, 2611, 2634, 2635, 2650, 2696, 2716, 2731, 2732, 2744, 2768, 2794, 2885, 2886, 2923, 2927, 2935, 2937, 2942, 2954, 2968, 2975, 2980, 2996, 3005, 3022, 3074, 3082, 3084, 3339, 3348, 3362, 3369, 3380, 3414, 3425, 3438, 3442, 3476, 3486, 3699, 3700, 3729, 3918, 3936, 3938, 3939, 3962, 3997, 4010, 4022, 4023, 4025, 4029, 4030, 4033, 4034, 4040, 4047, 4048, 4112, 4113, 4114, 4131, 4134, 4244, 4469, 4593, 4598, 4715, 4899, 5138, 5153, 5824, 5893, 5901, 5970, 5971, 5983, 5984, 6226]"
cube5_cluster0,cube9_cluster0,28,"[191, 1502, 1541, 1588, 1604, 1911, 2177, 2379, 2414, 2417, 2489, 2563, 2592, 2600, 2699, 2708, 2722, 2909, 2929, 2930, 2943, 3089, 3398, 3493, 3756, 4372, 4595, 5792]"
