source,target,shared_points_count,shared_sample_indices
cube0_cluster0,cube1_cluster0,61,"[103, 135, 161, 171, 191, 192, 405, 1073, 1433, 1548, 1575, 1589, 1612, 1708, 1818, 2112, 2183, 2237, 2251, 2265, 2290, 2332, 2379, 2419, 2498, 2524, 2540, 2558, 2563, 2569, 2623, 2646, 2692, 2699, 2707, 2708, 2855, 2868, 2905, 2909, 2929, 3173, 3240, 3318, 3398, 3654, 3913, 4372, 4390, 4559, 4589, 5432, 5456, 5590, 5610, 5819, 5988, 6056, 6082, 6123, 6141]"
cube0_cluster0,cube10_cluster0,69,"[103, 135, 161, 171, 191, 192, 405, 1073, 1433, 1548, 1575, 1589, 1612, 1708, 1818, 2112, 2183, 2237, 2251, 2265, 2332, 2379, 2419, 2498, 2524, 2540, 2558, 2563, 2569, 2623, 2646, 2692, 2699, 2707, 2708, 2855, 2868, 2905, 2909, 2929, 3173, 3240, 3318, 3398, 3454, 3654, 3853, 3913, 3992, 4076, 4082, 4372, 4390, 4559, 4589, 5432, 5456, 5590, 5610, 5819, 5988, 6056, 6082, 6123, 6127, 6134, 6141, 6157, 6171]"
cube0_cluster0,cube11_cluster0,61,"[103, 135, 161, 171, 191, 192, 405, 1073, 1433, 1548, 1575, 1589, 1612, 1708, 1818, 2112, 2183, 2237, 2251, 2265, 2332, 2379, 2419, 2498, 2524, 2540, 2558, 2563, 2569, 2623, 2646, 2692, 2699, 2707, 2708, 2855, 2868, 2905, 2909, 2929, 3173, 3240, 3318, 3398, 3454, 3654, 3913, 4372, 4390, 4559, 4589, 5432, 5456, 5590, 5610, 5819, 5988, 6056, 6082, 6123, 6141]"
cube0_cluster1,cube1_cluster0,5,"[2345, 2371, 3493, 4571, 6040]"
cube0_cluster1,cube10_cluster0,5,"[2345, 2371, 3493, 4571, 6040]"
cube0_cluster1,cube11_cluster0,5,"[2345, 2371, 3493, 4571, 6040]"
cube1_cluster0,cube2_cluster0,6,"[187, 1658, 2745, 2804, 2933, 5746]"
cube1_cluster0,cube2_cluster2,9,"[903, 2128, 2258, 2600, 2604, 2638, 4595, 5870, 6100]"
cube1_cluster0,cube2_cluster3,4,"[1502, 1903, 4732, 5540]"
cube10_cluster0,cube1_cluster0,65,"[103, 135, 161, 171, 191, 192, 405, 1073, 1433, 1548, 1575, 1589, 1612, 1708, 1818, 2112, 2183, 2237, 2251, 2265, 2332, 2345, 2371, 2379, 2419, 2498, 2524, 2540, 2558, 2563, 2569, 2623, 2646, 2692, 2699, 2707, 2708, 2855, 2868, 2905, 2909, 2929, 3173, 3240, 3318, 3398, 3493, 3654, 3913, 4372, 4390, 4559, 4571, 4589, 5432, 5456, 5590, 5610, 5819, 5988, 6040, 6056, 6082, 6123, 6141]"
cube11_cluster0,cube1_cluster0,130,"[36, 59, 103, 108, 135, 161, 171, 187, 191, 192, 405, 470, 489, 1073, 1298, 1380, 1433, 1502, 1548, 1575, 1588, 1589, 1612, 1658, 1708, 1818, 1903, 2112, 2183, 2227, 2237, 2251, 2265, 2332, 2345, 2371, 2379, 2419, 2449, 2490, 2498, 2524, 2540, 2558, 2563, 2566, 2569, 2576, 2580, 2601, 2623, 2646, 2651, 2653, 2692, 2699, 2707, 2708, 2722, 2745, 2804, 2855, 2868, 2905, 2909, 2929, 2933, 3173, 3240, 3253, 3265, 3318, 3398, 3493, 3509, 3654, 3756, 3913, 4372, 4390, 4441, 4559, 4560, 4571, 4589, 4666, 4690, 4732, 4759, 4770, 4790, 4841, 4920, 4994, 4996, 5116, 5120, 5141, 5147, 5175, 5319, 5418, 5426, 5432, 5456, 5501, 5525, 5540, 5590, 5597, 5610, 5613, 5624, 5746, 5819, 5905, 5944, 5988, 6022, 6040, 6050, 6056, 6082, 6117, 6123, 6131, 6138, 6139, 6141, 6183]"
cube11_cluster3,cube1_cluster0,9,"[163, 454, 903, 2600, 2943, 4438, 5439, 6100, 6206]"
cube12_cluster1,cube1_cluster0,6,"[187, 1658, 2745, 2804, 2933, 5746]"
